Time,Temp,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4
0:00:00,37,1.076,1.073,1.082,1.107,1.069,1.08,1.095,1.109,1.167,1.137,1.165,1.159,1.131,1.194,1.192,1.184,1.138,1.162,1.193,1.217,1.175,1.159,1.182,1.163,1.139,1.155,1.123,1.135
0:01:00,37,1.067,1.064,1.079,1.094,1.069,1.067,1.09,1.107,1.169,1.125,1.163,1.155,1.117,1.182,1.179,1.167,1.132,1.154,1.178,1.202,1.161,1.167,1.178,1.161,1.139,1.164,1.153,1.154
0:02:00,37,1.066,1.062,1.078,1.082,1.068,1.066,1.089,1.11,1.179,1.124,1.162,1.154,1.115,1.179,1.181,1.163,1.135,1.155,1.178,1.198,1.153,1.169,1.178,1.158,1.134,1.162,1.154,1.156
0:03:00,37,1.062,1.058,1.079,1.081,1.067,1.062,1.09,1.108,1.175,1.121,1.156,1.144,1.118,1.179,1.181,1.161,1.127,1.155,1.178,1.179,1.147,1.155,1.167,1.156,1.124,1.154,1.146,1.147
0:04:00,37,1.058,1.054,1.08,1.08,1.06,1.061,1.089,1.104,1.176,1.117,1.15,1.147,1.119,1.182,1.181,1.155,1.119,1.153,1.175,1.181,1.152,1.151,1.156,1.153,1.12,1.143,1.139,1.142
0:05:00,37,1.055,1.052,1.08,1.079,1.057,1.062,1.087,1.1,1.178,1.115,1.144,1.155,1.119,1.182,1.18,1.147,1.115,1.151,1.172,1.179,1.153,1.148,1.147,1.148,1.116,1.138,1.139,1.138
0:06:00,37,1.054,1.054,1.081,1.077,1.056,1.064,1.084,1.098,1.176,1.115,1.14,1.158,1.121,1.18,1.178,1.139,1.112,1.151,1.171,1.185,1.151,1.149,1.141,1.142,1.116,1.136,1.139,1.132
0:07:00,37,1.053,1.055,1.081,1.076,1.055,1.063,1.082,1.097,1.17,1.115,1.14,1.164,1.123,1.179,1.177,1.137,1.11,1.152,1.169,1.187,1.158,1.148,1.137,1.139,1.12,1.136,1.143,1.128
0:08:00,37,1.053,1.052,1.081,1.077,1.051,1.061,1.081,1.096,1.166,1.115,1.14,1.166,1.121,1.177,1.175,1.133,1.106,1.153,1.169,1.185,1.171,1.146,1.138,1.135,1.128,1.139,1.145,1.128
0:09:00,37,1.052,1.048,1.082,1.079,1.048,1.059,1.08,1.094,1.162,1.113,1.141,1.169,1.129,1.175,1.174,1.132,1.104,1.152,1.17,1.185,1.181,1.145,1.139,1.133,1.135,1.145,1.147,1.131
