Sample ID,Thiaminase_Activity,No_detect,Signal.Noise,Area,Survey,?,Station,Catch Date,Latitude,Longitude,Region,Analysis Date,Species,Scientific,Age Class,Mass (g),Fork Length (cm),Note
3280-c,-6.538695063,TRUE,FALSE,Bering Sea,NBS2022,202202,28,2022-09-12,63.4991,-167.0056,,,Sand Lance,Ammodytes hexapterus,Age 0,0.5,5.1,"Composite sample, n = 3, individuals = 3280, 3279, 3281, mass and length are averages"
3105-c,-5.56746855,TRUE,FALSE,Bering Sea,NBS2022,202202,13,2022-09-06,61.5012,-168.9561,,,Sand Lance,Ammodytes hexapterus,Age 0,0.8,6.0,"Composite sample, n = 4, individuals = 3105, 3104, 3103, 3102, mass and length are averages"
3000,-4.617765062,TRUE,FALSE,Bering Sea,NBS2022,202202,6,2022-09-03,60.5045,-167.979,,,Capelin,Mallotus villosus,NA,4.8,8.8,
SACO06,-4.028572246,TRUE,FALSE,Von_Biela,,,LB04,2022-08-19,70.15524,-146.11319,Flaxman Island,,Saffron Cod,Eleginus gracilis,,9.3,11.1,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
2665,-3.998440011,TRUE,FALSE,Bering Sea,NBS2022,NW2201,40,2022-09-16,64.1004,-164.5063,,,Pacific Herring,Clupea pallasi,Age 1+,19.0,12.2,Processed with light on
SUSM04,-3.750387145,TRUE,FALSE,Southeast,SECM2022,202202,Zimobre Straight Station G,2022-08-04,56.2585,-132.3679,,,Surf Smelt,Hypomesus pretiosus,,42.4,16.3,
940,-3.592730986,TRUE,FALSE,Southeast,SECM2022,ME22,,2022-07-28,58.2261,-134.6112,,,Pacific Herring,Clupea pallasi,,43.0,15.5,
SACO04,-3.331764305,TRUE,FALSE,Von_Biela,,,LB04,2022-08-19,70.15524,-146.11319,Flaxman Island,,Saffron Cod,Eleginus gracilis,,7.3,10.1,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
SUSM10,-3.227377632,TRUE,FALSE,Southeast,SECM2022,202202,Zimobre Straight Station G,2022-08-04,56.2585,-132.3679,,,Surf Smelt,Hypomesus pretiosus,,38.3,16.0,
ARCO09,-2.968025178,TRUE,FALSE,Von_Biela,,,LB04,2022-08-19,70.15524,-146.11319,Flaxman Island,,Arctic Cod,,,7.6,10.3,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
2672,-2.57253959,TRUE,FALSE,Bering Sea,NBS2022,NW2201,40,2022-09-16,64.1004,-164.5063,,,Pacific Herring,Clupea pallasi,Age 1+,21.0,12.7,Processed with light on
SACO08,-2.467076766,TRUE,FALSE,Von_Biela,,,SS01,2021-07-22,70.29290,-147.79823,Foggy Island Bay,,Saffron Cod,Eleginus gracilis,,10.3,11.9,"VVB fish, Net ID = FN-2021-01, FISHID = NA"
2931-c,-2.336324388,TRUE,FALSE,Bering Sea,NBS2022,202202,3,2022-09-02,60.0252,-170.0605,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,0.9,5.1,"Composite sample, n = 3, individuals = 2931, 2930, 2937, mass and length are averages"
FOSC04,-2.302425623,TRUE,FALSE,Von_Biela,,,SS01,2022-07-24,70.29305,-147.79890,Foggy Island Bay,,Fourhorn Sculpin,,,1.2,7.5,"VVB fish, Net ID = FN-2022-02, FISHID = NA"
SACO02,-2.251308439,TRUE,FALSE,Von_Biela,,,LB01,2022-08-16,70.17207,-145.95714,Flaxman Island,,Saffron Cod,Eleginus gracilis,,4.1,8.7,"VVB fish, Net ID = FN-2022-06, FISHID = NA, thawed a little bit"
1765c,-2.02208822,TRUE,FALSE,Bering Sea,NBS2021,202101,17,2021-09-04,61.5028,-168.9718,,,Sand Lance,Ammodytes hexapterus,,0.4,5.3,"Composite sample, n = 2, individuals = 1765, 1766, mass and length are averages"
2070,-2.010250556,TRUE,FALSE,Bering Sea,NBS2021,202101,33,2021-09-10,63.5038,-167.0196,,,Pacific Herring,Clupea pallasi,Age 1+,92.2,20.8,
ARCO04,-1.974199489,TRUE,FALSE,Von_Biela,,,LB04,2022-08-19,70.15524,-146.11319,Flaxman Island,,Arctic Cod,,,5.0,8.5,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
BRWH08,-1.874655497,TRUE,FALSE,Von_Biela,,,SS02,2018-07-22,70.27666,-147.77771,Foggy Island Bay,,Broad Whitefish,,,34.4,15.5,"VVB fish, Net ID = FN-2018-04-South, FISHID =  BRWH159"
BRWH09,-1.811700648,TRUE,FALSE,Von_Biela,,,SL01,2019-07-22,70.5156,-149.46765,Simpson Lagoon,,Broad Whitefish,,,46.5,16.0,"VVB fish, Net ID = FN-2019-01-South, FISHID = BRWH161"
2673,-1.758431161,TRUE,FALSE,Bering Sea,NBS2022,NW2201,40,2022-09-16,64.1004,-164.5063,,,Pacific Herring,Clupea pallasi,Age 1+,20.6,13.2,Processed with light on
SACO07,-1.733679682,TRUE,FALSE,Von_Biela,,,SS01,2021-07-22,70.29290,-147.79823,Foggy Island Bay,,Saffron Cod,Eleginus gracilis,,9.8,11.2,"VVB fish, Net ID = FN-2021-01, FISHID = NA"
2610-c,-1.662115623,TRUE,FALSE,Bering Sea,NBS2022,NW2201,39,2022-09-15,64.0997,-163.4911,,,Pacific Herring (age 0),Clupea pallasi,Age 0,1.6,5.9,"Composite sample, n = 2, individuals = 2610, 2609, mass and length are averages"
906,-1.627678783,TRUE,FALSE,Bering Sea,NBS2022,202202,10,2022-09-05,60.998,-168.9933333,,,Capelin,Mallotus villosus,NA,3.8,8.9,
GH-1,-1.601313077,TRUE,FALSE,Bering Sea,NBS2022,202202,1,2022-09-01,60.0074,-168.0721,,,Greenland turbot,Reinhardtius hippoglossoides,Larval,1.4,5.8,"No barcode, composite sample, n = 2, labeled Greenland halibut, mass and length are averages"
2008,-1.567952388,TRUE,FALSE,Bering Sea,NBS2021,202101,32,2021-09-09,63.4962,-166.0308,,,Threespine stickleback,Gasterosteus aculeatus,,4.8,7.4,
SACO03,-1.558267026,TRUE,FALSE,Von_Biela,,,LB04,2022-08-19,70.15524,-146.11319,Flaxman Island,,Saffron Cod,Eleginus gracilis,,5.3,9.1,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
FOSC05,-1.54051053,TRUE,FALSE,Von_Biela,,,SS01,2022-08-13,70.29305,-147.79890,Foggy Island Bay,,Fourhorn Sculpin,,,2.9,7.5,"VVB fish, Net ID = FN-2022-03, FISHID = NA"
SACO01,-1.524368262,TRUE,FALSE,Von_Biela,,,LB02,2021-07-28,70.18504,-146.05629,Flaxman Island,,Saffron Cod,Eleginus gracilis,,2.5,7.4,"VVB fish, Net ID = FN-2021-05, FISHID = NA"
PG-1,-1.45926111,TRUE,FALSE,Bering Sea,NBS2022,202202,22,2022-09-09,62.5025,-169.015,,,Humpy shrimp,Pandalus goniurus,,0.4,,"No barcode, composite sample, n = 7, no lengths taken, mass is average"
2908-c,-1.417829287,TRUE,FALSE,Bering Sea,NBS2022,202202,2,2022-09-02,59.9944,-169.0626,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,0.7,4.2,"Composite sample, n = 6, individuals = 2908, 2907, 2906, 2904, 2905, 2903, mass and length are averages"
BRWH07,-1.414062757,TRUE,FALSE,Von_Biela,,,SL01,2019-07-22,70.5156,-149.46765,Simpson Lagoon,,Broad Whitefish,,,24.1,15.0,"VVB fish, Net ID = FN-2019-01-South, FISHID = BRWH160"
FOSC03,-1.338732169,TRUE,FALSE,Von_Biela,,,SS01,2022-07-24,70.29305,-147.79890,Foggy Island Bay,,Fourhorn Sculpin,,,3.0,7.4,"VVB fish, Net ID = FN-2022-02, FISHID = NA"
922,-1.30537148,TRUE,FALSE,Southeast,SECM2022,ME22,,2022-07-28,58.2261,-134.6112,,,Pacific Herring,Clupea pallasi,,49.4,17.0,
FOSC06,-1.290843438,TRUE,FALSE,Von_Biela,,,SS01,2021-07-22,70.29290,-147.79823,Foggy Island Bay,,Fourhorn Sculpin,,,3.1,7.6,"VVB fish, Net ID = FN-2021-01, FISHID = NA"
1579,-1.191299446,TRUE,FALSE,Bering Sea,NBS2021,202101,5,2021-08-31,60.5071,-170.9639,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,3.1,6.8,
2091c,-1.171390648,TRUE,FALSE,Bering Sea,NBS2021,202101,35,2021-09-10,64.0112,-168.991,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,1.3,5.6,"Composite sample, n = 2, individuals = 2091, 2090, mass and length are averages"
ARCO05,-1.120273463,TRUE,FALSE,Von_Biela,,,SS01,2021-07-24,70.29290,-147.79823,Foggy Island Bay,,Arctic Cod,,,4.7,8.8,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
ARCO06,-1.116506934,TRUE,FALSE,Von_Biela,,,LB04,2022-08-19,70.15524,-146.11319,Flaxman Island,,Arctic Cod,,,5.8,9.1,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
1021,-1.106283497,TRUE,FALSE,Bering Sea,NBS2021,202101,5,2021-08-31,60.5071,-170.9639,,,Pacific Herring,Clupea pallasi,Age 1+,83.1,20.4,
FOSC02,-1.101978892,TRUE,FALSE,Von_Biela,,,LB01,2022-08-16,70.17207,-145.95714,Flaxman Island,,Fourhorn Sculpin,,,2.0,6.7,"VVB fish, Net ID = FN-2022-06, FISHID = NA"
3317-c,-0.995439917,TRUE,FALSE,Bering Sea,NBS2022,202202,30,2022-09-12,64.0008,-168.0068,,,Sand Lance,Ammodytes hexapterus,Age 0,0.5,5.4,"Composite sample, n = 4, individuals = 3317, 3316, 3315, 3314, mass and length are averages"
SACO09,-0.992211463,TRUE,FALSE,Von_Biela,,,SS01,2021-07-22,70.29290,-147.79823,Foggy Island Bay,,Saffron Cod,Eleginus gracilis,,14.1,12.2,"VVB fish, Net ID = FN-2021-01, FISHID = NA"
LD001,-0.988983009,TRUE,FALSE,Bering Sea,NBS2022,202202,10,2022-09-05,60.998,-168.9933333,,2022-10-17,Longhead Dab,Limanda proboscidea,Larval,0.4,3.0,"No barcode, composite sample, n = 5, mass and length are averages"
FOSC08,-0.952393866,TRUE,FALSE,Von_Biela,,,LB01,2022-08-16,70.17207,-145.95714,Flaxman Island,,Fourhorn Sculpin,,,7.4,9.2,"VVB fish, Net ID = FN-2022-06, FISHID = NA"
1569,-0.884058261,TRUE,FALSE,Bering Sea,NBS2021,1699,6,2021-09-01,60.5035,-169.9368,,,Pacific Herring,Clupea pallasi,Age 1+,96.9,21.5,
2226,-0.862535236,TRUE,FALSE,Bering Sea,NBS2021,202101,45,2021-09-14,64.1063,-163.4488,,,Pacific Herring,Clupea pallasi,Age 1+,37.3,14.9,
3384,-0.839397984,TRUE,FALSE,Bering Sea,NBS2022,202202,34,2022-09-14,64.9811,-167.5343,,2022-10-17,Sand Lance,Ammodytes hexapterus,Age 1+,10.4,14.3,
2007,-0.822179564,TRUE,FALSE,Bering Sea,NBS2021,202101,32,2021-09-09,63.4962,-166.0308,,,Threespine stickleback,Gasterosteus aculeatus,,4.7,7.9,
2934,-0.800118463,TRUE,FALSE,Bering Sea,NBS2022,202202,3,2022-09-02,60.0252,-170.0605,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,1.6,5.7,
1536c,-0.78935695,TRUE,FALSE,Bering Sea,NBS2021,202101,4,2021-08-31,60.0042,-170.9748,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,1.5,5.7,
1196c,-0.629548488,TRUE,FALSE,Bering Sea,NBS2021,202101,27,2021-09-08,62.5002,-168.9767,,,Sand Lance,Ammodytes hexapterus,,0.7,6.0,"Composite sample, n = 2, individuals = 1196,1200, mass and length are averages"
1524,-0.590268967,TRUE,FALSE,Bering Sea,NBS2021,202101,3,08212017 01:47:14.418,59.9972,-170.0025,,,Pacific cod (age 0),Gadus macrocephalus (age 0),Age 0,12.1,8.7,
3282,-0.505791093,TRUE,FALSE,Bering Sea,NBS2022,202202,28,2022-09-12,63.4991,-167.0056,,,Gonatus Squid,Gonatus kamtschaticus,NA,9.8,9.5,Total length
ARCO02,-0.497181883,TRUE,FALSE,Von_Biela,,,SS01,2021-07-24,70.29290,-147.79823,Foggy Island Bay,,Arctic Cod,,,3.6,7.5,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
SUSM08,-0.462745042,TRUE,FALSE,Southeast,SECM2022,202202,Zimobre Straight Station G,2022-08-04,56.2585,-132.3679,,,Surf Smelt,Hypomesus pretiosus,,43.4,16.5,
3388,-0.451445454,TRUE,FALSE,Bering Sea,NBS2022,202202,34,2022-09-14,64.9811,-167.5343,,2022-10-17,Sand Lance,Ammodytes hexapterus,Age 1+,11.1,14.5,
2144,-0.447678925,TRUE,FALSE,Bering Sea,NBS2021,202101,39,2021-09-12,64.503,-167.0381,,,Capelin,Mallotus villosus,,2.7,7.5,
