Sample ID,Thiaminase_Activity,SD_Line,Detect_Limit,No_detect,,Signal.Noise,Area,Survey,Station,Catch Date,Latitude,Longitude,Region,Analysis Date,Species,Scientific,Age Class,Mass (g),Fork Length (cm),Note
1149,NA,NA,NA,NA,,NA,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,NA,Rainbow Smelt,Osmerus mordax,NA,25.5,15.1,
2980,NA,NA,NA,NA,,NA,Bering Sea,NBS2022,5,9/3/2022,60.5219,-169.0082,,NA,Capelin,Mallotus villosus,NA,2.5,7.8,
2998,NA,NA,NA,NA,,NA,Bering Sea,NBS2022,6,9/3/2022,60.5045,-167.979,,NA,Capelin,Mallotus villosus,NA,3.9,8.5,
3000,NA,NA,NA,NA,,NA,Bering Sea,NBS2022,6,9/3/2022,60.5045,-167.979,,NA,Capelin,Mallotus villosus,NA,4.8,8.8,
2613-c,NA,NA,NA,NA,,NA,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,NA,Pacific Herring (age 0),Clupea pallasi,Age 0,1.9,6.2,"Composite sample, n = 3, individuals = 2613, 2612, 2611, mass and length are averages"
2621-c,NA,NA,NA,NA,,NA,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,NA,Pacific Herring (age 0),Clupea pallasi,Age 0,2.3,6.5,"Composite sample, n = 2, individuals = 2621, 2620, mass and length are averages"
3106-c,NA,NA,NA,NA,,NA,Bering Sea,NBS2022,13,9/6/2022,61.5012,-168.9561,,NA,Sand Lance,Ammodytes hexapterus,Age 0,0.7,5.2,"Composite sample, n = 3, individuals = 3106, 3107, 3108, mass and length are averages"
ARCI06,NA,NA,NA,NA,,NA,Von_Biela,VVB,SS02,7/30/2019,70.27666,-147.77771,Foggy Island Bay,NA,Arctic Cisco,,,18,13.3,"VVB fish, Net ID = FN-2019-09-South, FISHID = ARCI343"
BRWH10,NA,NA,NA,NA,,NA,Von_Biela,VVB,SL77,7/22/2019,70.49861,-149.59874,Simpson Lagoon,NA,Broad Whitefish,,,66.4,19,"VVB fish, Net ID = FN-2019-02-West, FISHID = BRWH162"
904,1.253716219,0.168551781,0.505655343,FALSE,1.253716219,TRUE,Bering Sea,NBS2022,10,9/5/2022,60.998,-168.9933333,,12/9/2022,Capelin,Mallotus villosus,NA,4.7,8.7,
907,0.408399404,0.093050386,0.279151159,FALSE,0.408399404,TRUE,Bering Sea,NBS2022,10,9/5/2022,60.998,-168.9933333,,12/9/2022,Capelin,Mallotus villosus,NA,4.4,8.6,
920,4.879269818,0.105426338,0.316279013,FALSE,4.879269818,TRUE,Southeast,SECM2022,,7/28/2022,58.2261,-134.6112,,12/12/2022,Pacific Herring,Clupea pallasi,,48.2,16,
924,2.144769464,0.196738233,0.590214698,FALSE,2.144769464,TRUE,Southeast,SECM2022,,7/28/2022,58.2261,-134.6112,,12/8/2022,Pacific Herring,Clupea pallasi,,56.4,18,
925,2.093114203,0.127801242,0.383403726,FALSE,2.093114203,TRUE,Southeast,SECM2022,,7/28/2022,58.2261,-134.6112,,12/12/2022,Pacific Herring,Clupea pallasi,,49.2,16.4,
926,3.180565053,0.123354252,0.370062757,FALSE,3.180565053,TRUE,Southeast,SECM2022,,7/28/2022,58.2261,-134.6112,,12/9/2022,Pacific Herring,Clupea pallasi,,41.9,16,
928,1.670724833,0.152570693,0.457712079,FALSE,1.670724833,TRUE,Southeast,SECM2022,,7/28/2022,58.2261,-134.6112,,12/9/2022,Pacific Herring,Clupea pallasi,,45.9,16.1,
1058,13.57941469,0.470199036,1.410597108,FALSE,13.57941469,TRUE,Bering Sea,NBS2021,10,9/2/2021,61.0072,-167.0247,,12/8/2022,Rainbow Smelt,Osmerus mordax,,41.9,17.6,
1150,5.788079559,0.158757597,0.476272792,FALSE,5.788079559,TRUE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,10/7/2022,Rainbow Smelt,Osmerus mordax,NA,19.4,14.5,
1151,6.206702399,0.230779124,0.692337372,FALSE,6.206702399,TRUE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,10/7/2022,Rainbow Smelt,Osmerus mordax,NA,20.9,14.4,
