Sample ID,Thiaminase_Activity,SD_Line,Detect_Limit,No_detect,Area,Survey,Station,Catch Date,Latitude,Longitude,Region,Analysis Date,Species,Scientific,Age Class,Mass (g),Fork Length (cm),Note
1154,14.48844863,0,0,FALSE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,9/30/2022,Rainbow Smelt,Osmerus mordax,NA,29.8,15.6,
1155,16.09128625,1.147999715,3.443999144,FALSE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,9/30/2022,Rainbow Smelt,Osmerus mordax,NA,22.1,14,
1150,5.788079559,0.158757597,0.476272792,FALSE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,10/7/2022,Rainbow Smelt,Osmerus mordax,NA,19.4,14.5,
1151,6.206702399,0.230779124,0.692337372,FALSE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,10/7/2022,Rainbow Smelt,Osmerus mordax,NA,20.9,14.4,
1152,7.240345686,0.553701028,1.661103084,FALSE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,10/7/2022,Rainbow Smelt,Osmerus mordax,NA,37.7,17.5,
1153,10.60385645,0.454097833,1.362293498,FALSE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,10/7/2022,Rainbow Smelt,Osmerus mordax,NA,17.6,14,
1156,9.975384116,0.335557406,1.006672217,FALSE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,10/7/2022,Rainbow Smelt,Osmerus mordax,NA,21.5,13.7,
2981,0.765143547,0.044270042,0.132810125,FALSE,Bering Sea,NBS2022,5,9/3/2022,60.5219,-169.0082,,10/17/2022,Capelin,Mallotus villosus,NA,4.3,9.3,
2979,-0.397637891,0.044270042,0.132810125,TRUE,Bering Sea,NBS2022,5,9/3/2022,60.5219,-169.0082,,10/17/2022,Capelin,Mallotus villosus,NA,4.5,9.5,
3284,0.52085721,0.054203552,0.162610657,FALSE,Bering Sea,NBS2022,28,9/12/2022,63.4991,-167.0056,,10/17/2022,Gonatus Squid,Gonatus kamtschaticus,NA,7.6,9.4,Total length
3285,0.526776042,0.051452276,0.154356828,FALSE,Bering Sea,NBS2022,28,9/12/2022,63.4991,-167.0056,,10/17/2022,Gonatus Squid,Gonatus kamtschaticus,NA,6.3,7.6,Total length
3454,2.944887926,0.04435155,0.13305465,FALSE,Bering Sea,NBS2022,37,9/15/2022,63.9921,-165.9651,,10/17/2022,Gonatus Squid,Gonatus kamtschaticus,NA,9.7,8.9,Total length
3455,2.191582044,0.041899394,0.125698183,FALSE,Bering Sea,NBS2022,37,9/15/2022,63.9921,-165.9651,,10/17/2022,Gonatus Squid,Gonatus kamtschaticus,NA,22.9,10.5,Total length
LD001,-0.988983009,0.104382723,0.31314817,TRUE,Bering Sea,NBS2022,10,9/5/2022,60.998,-168.9933333,,10/17/2022,Longhead Dab,Limanda proboscidea,Larval,0.4,3,"No barcode, composite sample, n = 5, mass and length are averages"
LD002,-0.406785177,0.068097245,0.204291736,TRUE,Bering Sea,NBS2022,10,9/5/2022,60.998,-168.9933333,,10/17/2022,Longhead Dab,Limanda proboscidea,Larval,0.3,2.4,"No barcode, composite sample, n = 3, mass and length are averages"
3204,1.485626816,0.083536471,0.250609413,FALSE,Bering Sea,NBS2022,23,9/10/2022,62.9915,-166.9599,,10/17/2022,Rainbow Smelt,Osmerus mordax,NA,27.6,14.9,
3444,7.81124393,0.053548435,0.160645304,FALSE,Bering Sea,NBS2022,37,9/15/2022,63.9921,-165.9651,,10/17/2022,Saffron Cod,Eleginus gracilis,NA,2.7,6.5,
3445,0.754382034,0.07208008,0.21624024,FALSE,Bering Sea,NBS2022,37,9/15/2022,63.9921,-165.9651,,10/17/2022,Saffron Cod,Eleginus gracilis,NA,2.6,6.4,
3383,0.973378816,0.046471067,0.1394132,FALSE,Bering Sea,NBS2022,34,9/14/2022,64.9811,-167.5343,,10/17/2022,Sand Lance,Ammodytes hexapterus,Age 1+,11.1,13.4,
3385,0.600492404,0.058872591,0.176617773,FALSE,Bering Sea,NBS2022,34,9/14/2022,64.9811,-167.5343,,10/17/2022,Sand Lance,Ammodytes hexapterus,Age 1+,10.2,13.8,
3386,0.992211463,0.05937143,0.178114289,FALSE,Bering Sea,NBS2022,34,9/14/2022,64.9811,-167.5343,,10/17/2022,Sand Lance,Ammodytes hexapterus,Age 1+,11.9,14.9,
3387,1.910168489,0.053829446,0.161488339,FALSE,Bering Sea,NBS2022,34,9/14/2022,64.9811,-167.5343,,10/17/2022,Sand Lance,Ammodytes hexapterus,Age 1+,12.3,14.2,
3389,0.663985328,0.047671255,0.143013764,FALSE,Bering Sea,NBS2022,34,9/14/2022,64.9811,-167.5343,,10/17/2022,Sand Lance,Ammodytes hexapterus,Age 1+,13.1,14.3,
3109,0.126447773,0.047028236,0.141084708,TRUE,Bering Sea,NBS2022,13,9/6/2022,61.5012,-168.9561,,10/17/2022,Sand Lance,Ammodytes hexapterus,Age 0,1,6.8,
3384,-0.839397984,0.061665201,0.184995602,TRUE,Bering Sea,NBS2022,34,9/14/2022,64.9811,-167.5343,,10/17/2022,Sand Lance,Ammodytes hexapterus,Age 1+,10.4,14.3,
3388,-0.451445454,0.042748568,0.128245704,TRUE,Bering Sea,NBS2022,34,9/14/2022,64.9811,-167.5343,,10/17/2022,Sand Lance,Ammodytes hexapterus,Age 1+,11.1,14.5,
3390,-0.316926546,0.049132962,0.147398885,TRUE,Bering Sea,NBS2022,34,9/14/2022,64.9811,-167.5343,,10/17/2022,Sand Lance,Ammodytes hexapterus,Age 1+,11.7,15,
GH-3,0.639233849,0.106223456,0.318670367,FALSE,Bering Sea,NBS2022,1,9/1/2022,60.0074,-168.0721,,12/6/2022,Greenland turbot,Reinhardtius hippoglossoides,Larval,1.3,6,"No barcode, composite sample, n = 2, labeled Greenland halibut, mass and length are averages"
GH-1,-1.601313077,0.12500694,0.375020821,TRUE,Bering Sea,NBS2022,1,9/1/2022,60.0074,-168.0721,,12/6/2022,Greenland turbot,Reinhardtius hippoglossoides,Larval,1.4,5.8,"No barcode, composite sample, n = 2, labeled Greenland halibut, mass and length are averages"
PG-2,0.941094278,0.064210083,0.192630248,FALSE,Bering Sea,NBS2022,22,9/9/2022,62.5025,-169.015,,12/6/2022,Humpy shrimp,Pandalus goniurus,,1.4,,"No barcode, composite sample, n = 3, no lengths taken, mass is average"
PG-1,-1.45926111,0.194172241,0.582516723,TRUE,Bering Sea,NBS2022,22,9/9/2022,62.5025,-169.015,,12/6/2022,Humpy shrimp,Pandalus goniurus,,0.4,,"No barcode, composite sample, n = 7, no lengths taken, mass is average"
2669,0.969612286,0.062370055,0.187110166,FALSE,Bering Sea,NBS2022,40,9/16/2022,64.1004,-164.5063,,12/6/2022,Pacific Herring,Clupea pallasi,Age 1+,29.3,14.2,"Processed with light on, tube may be mislabeled 2269"
2672,-2.57253959,0.147659465,0.442978395,TRUE,Bering Sea,NBS2022,40,9/16/2022,64.1004,-164.5063,,12/6/2022,Pacific Herring,Clupea pallasi,Age 1+,21,12.7,Processed with light on
